time,stockX,stockY,stockZ
73.8,11.728545,-28.263063,20.067245
73.9,11.714176,-28.272638,20.041204
74.0,11.6999445,-28.28208,20.014915
74.1,11.685849,-28.291384,19.988373
74.2,11.671896,-28.300549,19.96158
74.3,11.658083,-28.309568,19.93453
74.4,11.644415,-28.318447,19.907228
74.5,11.630891,-28.327183,19.879667
74.6,11.617514,-28.335768,19.851849
74.7,11.604285,-28.344204,19.823776
74.8,11.591206,-28.352486,19.795437
74.9,11.578277,-28.360619,19.766842
75.0,11.565503,-28.368595,19.737982
75.1,11.552881,-28.376411,19.708862
75.2,11.540413,-28.384117,19.67947
75.3,11.528104,-28.391615,19.649817
75.4,11.515954,-28.398947,19.619902
75.5,11.5039625,-28.406113,19.58972
75.6,11.492129,-28.413116,19.559275
75.7,11.480457,-28.419945,19.528564
75.8,11.468946,-28.426605,19.497585
75.9,11.457599,-28.43309,19.466345
76.0,11.446413,-28.439404,19.434841
76.1,11.435392,-28.445538,19.40307
76.2,11.424537,-28.45149,19.371037
76.3,11.413845,-28.457264,19.338734
76.4,11.403321,-28.462856,19.30617
76.5,11.392966,-28.46826,19.273336
76.6,11.38278,-28.473476,19.24024
76.7,11.372764,-28.478506,19.206879
76.8,11.362916,-28.483341,19.173246
76.9,11.353242,-28.487982,19.13935
77.0,11.3437395,-28.492426,19.105188
77.1,11.334412,-28.496672,19.07076
77.2,11.325258,-28.500715,19.036066
77.3,11.31628,-28.504557,19.0011
77.4,11.30748,-28.50819,18.965868
77.5,11.298857,-28.511614,18.930372
77.6,11.290413,-28.514832,18.894606
77.7,11.282148,-28.51783,18.858566
77.8,11.274064,-28.520615,18.822258
77.9,11.266163,-28.523178,18.785686
78.0,11.258445,-28.525522,18.74884
78.1,11.250912,-28.52764,18.711727
78.2,11.243563,-28.529531,18.674341
78.3,11.2364025,-28.531193,18.636677
78.4,11.229426,-28.53262,18.59875
78.5,11.222641,-28.533813,18.560547
78.6,11.216043,-28.534767,18.52207
78.7,11.20964,-28.53548,18.483322
78.8,11.203426,-28.535952,18.4443
78.9,11.197407,-28.536173,18.405
79.0,11.191581,-28.536142,18.365425
79.1,11.185951,-28.53586,18.325579
79.2,11.180519,-28.53532,18.28545
79.3,11.175305,-28.53448,18.245028
79.4,11.170273,-28.533413,18.20434
79.5,11.16544,-28.53208,18.163374
79.6,11.16081,-28.53048,18.122124
79.7,11.156386,-28.528606,18.080593
79.8,11.152169,-28.526455,18.03877
79.9,11.148158,-28.524023,17.996666
80.0,11.144356,-28.521307,17.954275
80.1,11.140765,-28.518307,17.911592
80.2,11.137387,-28.515013,17.868622
80.3,11.134223,-28.511425,17.82535
80.4,11.131273,-28.507542,17.781794
80.5,11.128543,-28.503355,17.737936
80.6,11.126031,-28.498865,17.693787
80.7,11.123738,-28.494068,17.649334
80.8,11.121668,-28.48896,17.604578
80.9,11.1198225,-28.48354,17.559523
81.0,11.118201,-28.477797,17.514162
81.1,11.116809,-28.471737,17.468496
81.2,11.115644,-28.465351,17.422525
81.3,11.114711,-28.458637,17.376236
81.4,11.11401,-28.451593,17.32964
81.5,11.113543,-28.444212,17.28273
81.6,11.113313,-28.436497,17.235504
81.7,11.113319,-28.428396,17.187943
81.8,11.113565,-28.419985,17.140072
81.9,11.114052,-28.411228,17.091883
82.0,11.114782,-28.40212,17.043371
82.1,11.115756,-28.392658,16.99453
82.2,11.116974,-28.38284,16.945364
82.3,11.118442,-28.372658,16.895863
82.4,11.120157,-28.362114,16.846031
82.5,11.122124,-28.351206,16.79587
82.6,11.124341,-28.33993,16.745373
82.7,11.126812,-28.32828,16.694536
82.8,11.12954,-28.316257,16.643356
